timestamp,frame_id,track_id,zone,worn_ppe,missing_ppe,compliance_score
2026-02-28T00:26:04.550274,391,-1,default,,hard-hat|safety-vest,0.0
2026-02-28T00:26:08.001861,494,5,default,,hard-hat|safety-vest,0.0
2026-02-28T00:26:13.036714,649,5,default,,hard-hat|safety-vest,0.0
2026-02-28T00:26:18.049352,796,5,default,,hard-hat|safety-vest,0.0
2026-02-28T00:26:22.341438,929,1,default,,hard-hat|safety-vest,0.0
2026-02-28T00:26:27.399127,1077,1,default,,hard-hat|safety-vest,0.0
2026-02-28T00:26:33.024955,1172,1,default,,hard-hat|safety-vest,0.0
2026-02-28T00:26:38.895845,1259,1,default,,hard-hat|safety-vest,0.0
2026-02-28T00:26:44.580344,1342,1,default,,hard-hat|safety-vest,0.0
2026-02-28T00:26:53.661875,1492,1,default,,hard-hat|safety-vest,0.0
2026-02-28T00:26:59.242319,1651,1,default,,hard-hat|safety-vest,0.0
2026-02-28T00:27:04.441925,1723,1,default,,hard-hat|safety-vest,0.0
2026-02-28T00:27:09.785217,1803,1,default,,hard-hat|safety-vest,0.0
2026-02-28T00:27:15.588605,1889,1,default,,hard-hat|safety-vest,0.0
2026-02-28T00:27:21.190660,1972,1,default,,hard-hat|safety-vest,0.0
2026-02-28T00:27:26.165059,2043,13,default,,hard-hat|safety-vest,0.0
2026-02-28T00:27:26.165059,2043,14,default,,hard-hat|safety-vest,0.0
2026-02-28T00:27:27.433338,2056,1,default,,hard-hat|safety-vest,0.0
2026-02-28T00:27:31.983032,2118,13,default,,hard-hat|safety-vest,0.0
2026-02-28T00:27:31.983032,2118,14,default,,hard-hat|safety-vest,0.0
2026-02-28T00:27:34.192278,2139,1,default,,hard-hat|safety-vest,0.0
2026-02-28T00:27:38.295650,2202,13,default,,hard-hat|safety-vest,0.0
2026-02-28T00:27:38.295650,2202,14,default,,hard-hat|safety-vest,0.0
